@relation oa-importance

@attribute class {general,important}
@attribute from_code string
@attribute from_agency string
@attribute name string
@attribute wenzhong numeric
@attribute wenhao numeric
@attribute date1 date yyyy-MM-dd
@attribute date2 date yyyy-MM-dd
@attribute to_1 string
@attribute to_2 string
@attribute date0_day date yyyy-MM-dd
@attribute date0_time date HH:mm

@data
general,?,教育部,教育部党建工作领导小组办公室关于报送2018年下半年意识形态工作情况的通知,0,828,?,2019-01-16,宣传部,?,2018-12-27,17:26
general,?,山西省人民政府办公厅,邀请函,4,1318,2019-01-04,2018-12-28,校长办公室,?,2018-12-27,11:33
general,?,中国人民解放军陆军政治工作部,关于商请特邀专家为陆军院校建设提供咨询事,4,1319,?,2019-01-15,材料学院,机械学院,2018-12-27,11:38
general,陕纪教组发〔2018〕25号,陕西省纪委驻省教育厅纪检组,中共陕西省纪委驻省教育厅纪检组关于做好“三项专项”整治及“两节”期间贯彻落实中央八项规定精神的通知,0,827,?,?,纪委办公室,?,2018-12-27,10:56
general,?,陕西省教育厅,2018年11月《全省教育舆情日报》反馈情况（教育简报第34期）,2,93,?,?,宣传部,网络信息中心,2018-12-27,11:08
general,教技委[2018]10号,教育部科技司,教育部科技委关于公布2018年度“中国高等学校十大科技进展”入选项目的通知,1,1416,?,?,科研院,?,2018-12-26,10:33
general,陕教工组[2018]18号,省委教育工委,中共陕西省委教育工委关于做好2017年度省级和工委本级管理党费收支情况公示工作的通知,0,826,?,?,组织部,?,2018-12-26,18:44
general,教高厅[2018]4号,教育部办公厅,教育部办公厅关于印发《教育部高等学校教学指导委员会章程》的通知,1,1415,?,?,教务处,研究生院,2018-12-26,10:29
general,?,教育部巡视工作办公室,巡视工作人员鉴定表,4,1312,?,?,组织部,?,2018-12-25,17:54
general,?,教育部高等学校社会科学发展研究中心,第五届“高校党史教育论坛”征文通知,4,1310,?,?,社科处,马克思主义学院,2018-12-25,17:48
general,?,教育部,教育部简报54-58期,2,92,?,?,教务处,?,2018-12-25,11:59
important,组通字[2018]41号,中共中央组织部,中共中央组织部关于召开2018年度基层党组织组织生活会和开展民主评议党员几个问题的通知,0,824,?,?,组织部,?,2018-12-25,18:23
important,?,中共中央组织部,中共中央组织部关于认真做好领导干部报告个人有关事项工作的通知,0,825,?,?,组织部,?,2018-12-25,18:31
general,?,教育部巡视工作办公室,巡视工作人员鉴定表,4,1311,?,?,研究生院,?,2018-12-25,17:51
general,?,陕西省政法委,中共陕西省委政法委员会关于组建省扫黑除恶专项斗争法律专业人才库的通知,0,823,?,?,法学院,?,2018-12-25,18:12
general,?,西部机场集团有限公司,关于邀请出席西安-洛杉矶航线首航仪式的函,4,1314,2018-12-29,2018-12-27,?,?,2018-12-25,17:59
general,教办厅函〔2018〕108号,教育部,教育部办公厅关于第七届全国教育科学规划领导小组组成人员的通知,1,1411,?,?,校长办公室,?,2018-12-24,18:29
general,?,教育部,高校思想政治工作简报（2018年第60-62期）,2,91,?,?,宣传部,?,2018-12-21,15:36
general,陕融办发[2018]14号,中共陕西省委军民融合发展委员会,中共陕西省委军民融合发展委员会关于印发《陕西省军民融合企业孵化器认定和管理办法》的通知,0,815,?,?,科研院,?,2018-12-21,15:33
general,教人司[2018]453号,教育部,关于做好2018年直属高校领导班子和领导人员年度考核及干部选拔任用“一报告两评议”工作的通知,1,1406,?,2019-03-31,组织部,?,2018-12-21,11:54
general,陕发[2018]20号,省委办公厅,中共陕西省委关于印发《2018-2022年陕西省干部教育培训规划》的通知,0,820,?,?,组织部,?,2018-12-21,17:48
general,教高厅函[2018]82号,教育部,教育部办公厅关于提交高校教学实验室安全工作年度报告的通知,1,1407,?,2018-12-22,实验室与资产管理处,?,2018-12-21,12:00
